"card_id","cluster","lane","label_en","snomed_code","icd_code","icd_description","chapter_tag","source_map_type"
"strictv2-family_context-010","family_context","context_event","Alcoholic parent","133940008","Z63.7","Other stressful life events affecting family and household","Z","ALWAYS Z63.7"
"strictv2-family_context-011","family_context","context_event","Alcoholic spouse","133939006","Z63.7","Other stressful life events affecting family and household","Z","ALWAYS Z63.7"
"strictv2-family_context-012","family_context","context_event","Alteration in family processes","64313000","Z63.7","Other stressful life events affecting family and household","Z","ALWAYS Z63.7"
"strictv2-family_context-013","family_context","context_event","At increased risk of impaired family coping","704351003","Z63.8","Other specified problems related to primary support group","Z","ALWAYS Z63.8"
"strictv2-family_context-014","family_context","context_event","Beyond parental control","248040006","Z62.0","Inadequate parental supervision and control","Z","ALWAYS Z62.0"
"strictv2-financial_context-001","financial_context","context_event","Changed job","276068009","Z56.1","Change of job","Z","ALWAYS Z56.1"
"strictv2-financial_context-002","financial_context","context_event","Chronic unemployment","160900005","Z56.0","Unemployment, unspecified","Z","ALWAYS Z56.0"
"strictv2-financial_context-003","financial_context","context_event","Crowded living space","423859003","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strictv2-financial_context-004","financial_context","context_event","Damp housing","398081001","Z59.8","Other problems related to housing and economic circumstances","Z","ALWAYS Z59.8"
"strictv2-financial_context-005","financial_context","context_event","Difficulty managing personal financial activities","300686005","Z59.8","Other problems related to housing and economic circumstances","Z","ALWAYS Z59.8"
"strictv2-financial_context-006","financial_context","context_event","Discharged from job","105496009","Z56.6","Other physical and mental strain related to work","Z","ALWAYS Z56.6"
"strictv2-financial_context-007","financial_context","context_event","Dissatisfied with job","105491004","Z56.7","Other and unspecified problems related to employment","Z","ALWAYS Z56.7"
"strictv2-financial_context-008","financial_context","context_event","Financial insecurity","1184702004","Z59.8","Other problems related to housing and economic circumstances","Z","ALWAYS Z59.8"
"strictv2-financial_context-009","financial_context","context_event","Financial problem","160932005","Z59.5","Extreme poverty","Z","IF DESTITUTE CHOOSE Z59.5 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT"
"strictv2-financial_context-010","financial_context","context_event","Financially poor","11403006","Z59.8","Other problems related to housing and economic circumstances","Z","ALWAYS Z59.8"
"strictv2-financial_context-011","financial_context","context_event","Homeless","32911000","Z59.0","Homelessness","Z","ALWAYS Z59.0"
