"card_id","cluster","lane","label_en","snomed_code","icd_code","icd_description","chapter_tag","source_map_type"
"strict-family_context-010","family_context","context_event","ACE - adverse childhood experience","1380320004","Z61.9","Negative life event in childhood, unspecified","Z","ALWAYS Z61.9"
"strict-family_context-011","family_context","context_event","Addict in the family","160327004","Z81.3","Family history of other psychoactive substance abuse","Z","ALWAYS Z81.3"
"strict-family_context-012","family_context","context_event","Adultery","26507005","Z63.0","Problems in relationship with spouse or partner","Z","ALWAYS Z63.0"
"strict-financial_context-001","financial_context","context_event","Accommodation unsuitable","81877007","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strict-financial_context-002","financial_context","context_event","Accommodation unsuitable","105531004","Z59.1","Inadequate housing","Z","ALWAYS Z59.1 | DESCENDANTS NOT EXHAUSTIVELY MAPPED"
"strict-financial_context-003","financial_context","context_event","Accommodation without heating sources","1366335002","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strict-financial_context-004","financial_context","context_event","Asbestos in living accommodation","1197647004","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strict-financial_context-005","financial_context","context_event","At increased risk of exposure to hepatitis B virus due to occupation","1264552001","Z57.8","Occupational exposure to other risk-factors","Z","ALWAYS Z57.8"
"strict-financial_context-006","financial_context","context_event","Carbon monoxide in living accommodation","1197637002","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strict-financial_context-007","financial_context","context_event","Chronic unemployment","160900005","Z56.0","Unemployment, unspecified","Z","ALWAYS Z56.0"
"strict-financial_context-008","financial_context","context_event","Crowded living space","423859003","Z59.1","Inadequate housing","Z","ALWAYS Z59.1"
"strict-financial_context-009","financial_context","context_event","Damp housing","398081001","Z59.8","Other problems related to housing and economic circumstances","Z","ALWAYS Z59.8"
"strict-financial_context-010","financial_context","context_event","Destitute","284477001","Z59.5","Extreme poverty","Z","ALWAYS Z59.5"
"strict-legal_context-002","legal_context","context_event","Abstinent from drug misuse in protected environment","712544000","Z86.4","Personal history of psychoactive substance abuse","Z","ALWAYS Z86.4"
"strict-legal_context-003","legal_context","context_event","Abuses animals","765438006","R45.6","Physical violence","R","ALWAYS R45.6"
"strict-legal_context-004","legal_context","context_event","Abuses other people","765437001","R46.8","Other symptoms and signs involving appearance and behaviour","R","ALWAYS R46.8"
"strict-legal_context-005","legal_context","context_event","Acquitted from criminal charge","224342005","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strict-legal_context-007","legal_context","context_event","Affairs in jurisdiction of court of protection","224344006","Z65.3","Problems related to other legal circumstances","Z","ALWAYS Z65.3"
"strict-legal_context-008","legal_context","context_event","Aggressive biting","69547003","R45.6","Physical violence","R","ALWAYS R45.6"
"strict-legal_context-009","legal_context","context_event","Aggressive ex-smoker","360900008","Z86.4","Personal history of psychoactive substance abuse","Z","ALWAYS Z86.4"
"strict-legal_context-010","legal_context","context_event","Alcohol abuse by father","722417007","Z81.1","Family history of alcohol abuse","Z","ALWAYS Z81.1"
"strict-sleep-001","sleep","symptom","Abnormal dreaming","85418005","F51.8","Other nonorganic sleep disorders","F","ALWAYS F51.8"
"strict-sleep-002","sleep","symptom","Bad dream","419748005","F51.5","Nightmares","F","ALWAYS F51.5"
"strict-sleep-003","sleep","symptom","Behaviorally induced hypersomnia","724749007","F51.1","Nonorganic hypersomnia","F","ALWAYS F51.1"
"strict-sleep-004","sleep","symptom","Blank, staring face while sleep walking","247958000","F51.3","Sleepwalking [somnambulism]","F","ALWAYS F51.3"
"strict-sleep-005","sleep","symptom","C/O nightmares","162207007","F51.5","Nightmares","F","ALWAYS F51.5"
"strict-sleep-006","sleep","symptom","Central sleep apnea","27405005","R06.3","Periodic breathing","R","IF CENTRAL SLEEP APNEA DUE TO PERIODIC BREATHING CHOOSE R06.3 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT"
"strict-sleep-007","sleep","symptom","Day terrors","17402007","F51.4","Sleep terrors [night terrors]","F","ALWAYS F51.4"
"strict-sleep-008","sleep","symptom","Dementia due to fatal familial insomnia","1259480003","F02.8","","F","ALWAYS F02.8 | THIS CODE MAY BE USED IN THE PRIMARY POSITION WHEN THE MANIFESTATION IS THE PRIMARY FOCUS OF CARE"
"strict-sleep-009","sleep","symptom","Detailed recall of dream","247953009","F51.8","Other nonorganic sleep disorders","F","ALWAYS F51.8"
"strict-sleep-010","sleep","symptom","Finding related to sleep walking","419057008","F51.3","Sleepwalking [somnambulism]","F","ALWAYS F51.3"
"strict-sleep-011","sleep","symptom","Hypersomnia of non-organic origin","230488004","F51.1","Nonorganic hypersomnia","F","ALWAYS F51.1"
"strict-sleep-012","sleep","symptom","Idiopathic insomnia","3972004","F51.0","Nonorganic insomnia","F","ALWAYS F51.0"
