card_id,lane,label_en,snomed_code,icd_code,icd_description,chapter_tag,source_map_type
seed-context-008,context_event,Abusive emotional relationship with child,102904004,Z63.8,Other specified problems related to primary support group,Z,ALWAYS Z63.8
seed-context-009,context_event,Abusive emotional relationship with husband,102902000,Z63.0,Problems in relationship with spouse or partner,Z,ALWAYS Z63.0
seed-context-010,context_event,Abusive emotional relationship with parents,102900008,Z63.1,Problems in relationship with parents and in-laws,Z,ALWAYS Z63.1
seed-context-011,context_event,Abusive emotional relationship with partner,423794002,Z63.0,Problems in relationship with spouse or partner,Z,ALWAYS Z63.0
seed-context-012,context_event,Abusive emotional relationship with spouse,102901007,Z63.0,Problems in relationship with spouse or partner,Z,ALWAYS Z63.0
seed-context-013,context_event,Abusive emotional relationship with wife,102903005,Z63.0,Problems in relationship with spouse or partner,Z,ALWAYS Z63.0
seed-context-014,context_event,Abusive sexual relationship with partner,102951002,Z63.0,Problems in relationship with spouse or partner,Z,ALWAYS Z63.0
seed-context-015,context_event,Academic problem,3677008,Z55.8,Other problems related to education and literacy,Z,ALWAYS Z55.8
seed-context-016,context_event,Academic underachievement,105419003,Z55.3,Underachievement in school,Z,ALWAYS Z55.3
seed-context-017,context_event,Accommodation unsuitable,81877007,Z59.1,Inadequate housing,Z,ALWAYS Z59.1
seed-context-018,context_event,Accommodation unsuitable,105531004,Z59.1,Inadequate housing,Z,ALWAYS Z59.1 | DESCENDANTS NOT EXHAUSTIVELY MAPPED
seed-context-019,context_event,Accommodation without heating sources,1366335002,Z59.1,Inadequate housing,Z,ALWAYS Z59.1
seed-context-020,context_event,ACE - adverse childhood experience,1380320004,Z61.9,"Negative life event in childhood, unspecified",Z,ALWAYS Z61.9
